Scenario,Product,Product_Name,ProductID,Entity Found,Submit Status,MissingChannels
Delivery 1,OLD Products,3 Wicked Wings®,30017,YES,Success,
Delivery 1,OLD Products,Regular Gravy,30052,YES,Success,
Delivery 1,OLD Products,Regular Coleslaw,30053,YES,Success,
Delivery 1,OLD Products,Dinner Roll,30054,YES,Success,
Delivery 1,OLD Products,Dinner Roll,31007,YES,Success,
Delivery 1,OLD Products,Regular Potato & Gravy,30057,YES,Success,
Delivery 1,OLD Products,Go Bucket® 2 Wicked Wings®,30089,YES,Success,
Delivery 1,OLD Products,Go Bucket® Popcorn Chicken®,30090,YES,Success,
Delivery 1,OLD Products,Go Bucket® 3 Nuggets,30092,YES,Success,
Delivery 1,OLD Products,Large Potato & Gravy,30095,YES,Success,
Delivery 1,OLD Products,Large Coleslaw,30096,YES,Success,
Delivery 1,OLD Products,Go Bucket® 1 Original Tender™,30366,YES,Success,
Delivery 1,OLD Products,Bottled Water,30538,YES,Success,
Delivery 1,OLD Products,Bottled Water,31004,YES,Success,
Delivery 1,OLD Products,Double Tender™ Burger,30577,YES,Success,
Delivery 1,OLD Products,1 Piece of Chicken,30579,YES,Success,
Delivery 1,OLD Products,21 Pieces of Chicken,30580,YES,Success,
Delivery 1,OLD Products,3 Original Tenders™,30583,YES,Success,
Delivery 1,OLD Products,10 Wicked Wings®,30584,YES,Success,
Delivery 1,OLD Products,6 Nuggets,30586,YES,Success,
Delivery 1,OLD Products,Regular Popcorn Chicken®,30588,YES,Success,
Delivery 1,OLD Products,Maxi Popcorn Chicken®,30589,YES,Success,
Delivery 1,OLD Products,6 Wicked Wings®,30658,YES,Success,
Delivery 1,OLD Products,Family Feast,30680,YES,Success,
Delivery 1,OLD Products,Original Tenders™ Box,30689,YES,Success,
Delivery 1,OLD Products,Original Tenders™ Box,31051,YES,Success,
Delivery 1,OLD Products,Zinger® Burger Combo,30691,YES,Success,
Delivery 1,OLD Products,5 Original Tenders™,30707,YES,Success,
Delivery 1,OLD Products,3 Original Tenders™ Combo,30708,YES,Success,
Delivery 1,OLD Products,6 Nugget Combo,30711,YES,Success,
Delivery 1,OLD Products,Original Pepper Mayo Slider,30713,YES,Success,
Delivery 1,OLD Products,Original BBQ Slider,30714,YES,Success,
Delivery 1,OLD Products,10 Nuggets,30726,YES,Success,
Delivery 1,OLD Products,10 Nugget Combo,30728,YES,Success,
Delivery 1,OLD Products,Double Tender™ Burger Combo,30730,YES,Success,
Delivery 1,OLD Products,3 Piece Box,30731,YES,Success,
Delivery 1,OLD Products,3 Piece Box,31105,YES,Success,
Delivery 1,OLD Products,Zinger® Fillet Piece,30800,YES,Success,
Delivery 1,OLD Products,Large Chips,31005,YES,Success,
Delivery 1,OLD Products,Zinger® Burger,31040,YES,Success,
Delivery 1,OLD Products,Zinger Stacker® Burger,31041,YES,Success,
Delivery 1,OLD Products,"Original Supercharged Slider ",31101,YES,Success,
Delivery 1,OLD Products,Zinger® Bacon & Cheese Burger,31291,YES,Success,
Delivery 1,OLD Products,Zinger® Bacon & Cheese Burger Combo,31293,YES,Success,
Delivery 1,OLD Products,3 Wicked Wings® Combo,31481,YES,Success,
Delivery 1,OLD Products,6 Wicked Wings® Combo,31482,YES,Success,
Delivery 1,OLD Products,Favourites Box,31551,YES,Success,
Delivery 1,OLD Products,Favourites Box,32157,YES,Success,
Delivery 1,OLD Products,6 Pieces of Chicken,31642,YES,Success,
Delivery 1,OLD Products,Regular Popcorn Chicken® Combo,31698,YES,Success,
Delivery 1,OLD Products,Maxi Popcorn Chicken® Combo,31699,YES,Success,
Delivery 1,OLD Products,5 Original Tenders™ Combo,31700,YES,Success,
Delivery 1,OLD Products,My Bucket,31836,YES,Success,
Delivery 1,OLD Products,Original Tenders™ Crunch Bowl,31882,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Bowl,31883,YES,Success,
Delivery 1,OLD Products,Crunchy Jalapeno Slaw,31884,YES,Success,
Delivery 1,OLD Products,Original Crunch Twister® ,31886,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Burger™,31887,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Twister®  ,31888,YES,Success,
Delivery 1,OLD Products,Original Crunch Twister® Combo,31898,YES,Success,
Delivery 1,OLD Products,"Zinger® Crunch Burger™ Combo ",31900,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Bowl Combo,31916,YES,Success,
Delivery 1,OLD Products,Original Tenders™ Crunch Bowl Combo,31917,YES,Success,
Delivery 1,OLD Products,10 Wicked Wings® Combo,32062,YES,Success,
Delivery 1,OLD Products,"6 Pieces Hot & Crispy™ ",32164,YES,Success,
Delivery 1,OLD Products,3 Pieces Hot & Crispy™,32170,YES,Success,
Delivery 1,OLD Products,"3 Pieces Combo Hot & Crispy™ ",32171,YES,Success,
Delivery 1,OLD Products,"6 Pieces Combo Hot & Crispy™ ",32172,YES,Success,
Delivery 1,OLD Products,Zinger® Burger Box Hot & Crispy™,32190,YES,Success,
Delivery 1,OLD Products,Zinger® Burger Box Hot & Crispy™,32374,YES,Success,
Delivery 1,OLD Products,"Zinger Stacker® Burger Box Hot & Crispy™ ",32208,YES,Success,
Delivery 1,OLD Products,"Zinger Stacker® Burger Box Hot & Crispy™ ",32211,YES,Success,
Delivery 1,OLD Products,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32209,YES,Success,
Delivery 1,OLD Products,"Zinger® Bacon & Cheese Burger Box Hot & Crispy™ ",32212,YES,Success,
Delivery 1,OLD Products,"Zinger® Crunch Burger™ Box Hot & Crispy™ ",32210,YES,Success,
Delivery 1,OLD Products,"Zinger® Crunch Burger™ Box Hot & Crispy™ ",32213,YES,Success,
Delivery 1,OLD Products,Original Crunch Twister® Box,32216,YES,Success,
Delivery 1,OLD Products,Original Crunch Twister® Box,32218,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Twister® Box,32217,YES,Success,
Delivery 1,OLD Products,Zinger® Crunch Twister® Box,32219,YES,Success,
Delivery 1,OLD Products,Sparkling Water,32256,YES,Success,
Delivery 1,OLD Products,Double Chocolate Mousse,32301,YES,Success,
Delivery 1,OLD Products,Kids Meal with BBQ Slider,32367,YES,Success,
Delivery 1,OLD Products,Kids Meal with Nuggets,32368,YES,Success,
Delivery 1,OLD Products,Kids Meal with Snack Popcorn Chicken®,32369,YES,Success,
Delivery 1,OLD Products,Zinger Stacker® Burger Combo,32432,YES,Success,
Delivery 1,OLD Products,Value Feast,32443,YES,Success,
Delivery 1,OLD Products,Value Feast,32684,YES,Success,
Delivery 1,OLD Products,Giant Feast,32444,YES,Success,
Delivery 1,OLD Products,Snack Popcorn Chicken®,32467,YES,Success,
Delivery 1,OLD Products,Snack Popcorn Chicken® Combo,32468,YES,Success,
Delivery 1,OLD Products,Original Crispy Burger,32544,YES,Success,
Delivery 1,OLD Products,Original Crispy Bacon & Cheese Burger,32545,YES,Success,
Delivery 1,OLD Products,Original Crispy BBQ Bacon Stacker® Burger,32546,YES,Success,
Delivery 1,OLD Products,Original Crispy Burger Combo,32547,YES,Success,
Delivery 1,OLD Products,Original Crispy Bacon & Cheese Burger Combo,32548,YES,Success,
Delivery 1,OLD Products,Original Crispy BBQ Bacon Stacker® Burger Combo,32549,YES,Success,
Delivery 1,OLD Products,Original Crispy Burger Box,32550,YES,Success,
Delivery 1,OLD Products,Original Crispy Burger Box,32553,YES,Success,
Delivery 1,OLD Products,Original Crispy Bacon & Cheese Burger Box,32551,YES,Success,
Delivery 1,OLD Products,Original Crispy Bacon & Cheese Burger Box,32554,YES,Success,
Delivery 1,OLD Products,Original Crispy BBQ Bacon Stacker® Burger Box,32552,YES,Success,
Delivery 1,OLD Products,Original Crispy BBQ Bacon Stacker® Burger Box,32555,YES,Success,
Delivery 1,OLD Products,Original Crispy Fillet Piece,32559,YES,Success,
Delivery 1,OLD Products,Burger Feast,32561,YES,Success,
Delivery 1,OLD Products,Burger Feast,32562,YES,Success,
Delivery 1,OLD Products,Go Bucket® Hot & Crispy™,32677,YES,Success,
Delivery 1,OLD Products,"Zinger® Crunch Twister® Combo ",32734,YES,Success,
Delivery 1,OLD Products,Apple Juice,32762,YES,Success,
Delivery 1,OLD Products,3 Piece Combo,32804,YES,Success,
Delivery 1,OLD Products,Lipton Peach Ice Tea,32860,YES,Success,
Delivery 1,OLD Products,NEW Mega Burger Feast,32884,YES,Success,
Delivery 1,OLD Products,21 Pieces of Chicken - SA/WA,32893,YES,Success,
Delivery 1,OLD Products,Giant Feast - SA/WA,33069,YES,Success,
Delivery 1,OLD Products,NEW Mega Chicken Box,33076,YES,Success,
Delivery 1,OLD Products,NEW Mega Chicken Box,33081,YES,Success,
Delivery 1,OLD Products,Spicy Mango Lemonade~,33084,YES,Success,
Delivery 1,OLD Products,Sparkling Raspberry Lemonade~,33085,YES,Success,
Delivery 1,OLD Products,Watermelon Boba Refresher~,33087,YES,Success,
Delivery 1,OLD Products,Cherry Boba Refresher~,33088,YES,Success,
Delivery 1,OLD Products,Caramel Krunch Shake,33089,YES,Success,
Delivery 1,OLD Products,Chocolate Krunch Shake,33090,YES,Success,
Delivery 1,OLD Products,Coconut Mango Krunch Shake,33091,YES,Success,
Delivery 1,OLD Products,Iced Mocha Koffee Krunch,33092,YES,Success,
Delivery 1,OLD Products,Iced Caramel Koffee Krunch,33093,YES,Success,
Delivery 1,OLD Products,Iced Latte,33118,YES,Success,
Delivery 1,OLD Products,3 Pieces of Chicken,33119,YES,Success,
Delivery 1,OLD Products,4 Dipping Sauces,33122,YES,Success,
Delivery 1,OLD Products,Family Feast,31089,YES,Success,
Delivery 1,OLD Products,Giant Feast - SB,32700,YES,Success,
Delivery 1,OLD Products,Giant Feast - SB SA,32895,YES,Success,
Delivery 1,OLD Products,Double Tender™ Burger Box,31712,YES,Success,
Delivery 1,OLD Products,Large Coleslaw(4x110g),31006,YES,Success,
Delivery 2,OLD Items,Regular Pepsi Max^,40925,YES,Success,
Delivery 2,OLD Items,Regular Pepsi Max^,41708,YES,Success,
Delivery 2,OLD Items,Large Pepsi Max^,40926,YES,Success,
Delivery 2,OLD Items,Large Pepsi Max^,41727,YES,Success,
Delivery 2,OLD Items,1.25L Pepsi Max^,40927,YES,Success,
Delivery 2,OLD Items,Regular Pepsi^,40928,YES,Success,
Delivery 2,OLD Items,Regular Pepsi^,41703,YES,Success,
Delivery 2,OLD Items,LargePepsi^,40929,YES,Success,
Delivery 2,OLD Items,LargePepsi^,41728,YES,Success,
Delivery 2,OLD Items,1.25L Pepsi^,40930,YES,Success,
Delivery 2,OLD Items,Regular 7Up,40931,YES,Success,
Delivery 2,OLD Items,Large 7Up,40932,YES,Success,
Delivery 2,OLD Items,1.25L 7Up,40933,YES,Success,
Delivery 2,OLD Items,Regular Mountain Dew,40934,YES,Success,
Delivery 2,OLD Items,Regular Mountain Dew,41704,YES,Success,
Delivery 2,OLD Items,Large Mountain Dew,40935,YES,Success,
Delivery 2,OLD Items,Large Mountain Dew,41729,YES,Success,
Delivery 2,OLD Items,1.25L Mountain Dew,40936,YES,Success,
Delivery 2,OLD Items,Regular Solo,40937,YES,Success,
Delivery 2,OLD Items,Regular Solo,41705,YES,Success,
Delivery 2,OLD Items,Large Solo,40938,YES,Success,
Delivery 2,OLD Items,Large Solo,41730,YES,Success,
Delivery 2,OLD Items,1.25L Solo,40939,YES,Success,
Delivery 2,OLD Items,Regular Sunkist,40940,YES,Success,
Delivery 2,OLD Items,Large Sunkist,40942,YES,Success,
Delivery 2,OLD Items,Tomato Dip,41087,YES,Success,
Delivery 2,OLD Items,BBQ Dip,41088,YES,Success,
Delivery 2,OLD Items,Supercharged Dip,41089,YES,Success,
Delivery 2,OLD Items,Sweet Chilli Dip,41090,YES,Success,
Delivery 2,OLD Items,Sweet & Sour Dip,41091,YES,Success,
Delivery 2,OLD Items,Aioli Dip,41092,YES,Success,
Delivery 2,OLD Items,Regular Sunkist No Sugar,43243,YES,Success,
Delivery 2,OLD Items,Large Sunkist No Sugar,43244,YES,Success,
Delivery 2,OLD Items,1.25L Sunkist No Sugar,43245,YES,Success,
Delivery 2,OLD Items,Jalapeno Mayo Dip,43941,YES,Success,
Delivery 3,NEW products,Zinger® Burger,32879,YES,Success,
