Scenario,Product,Product_Name,ProductID,Entity Found,Submit Status,MissingChannels
Delivery 8,NEW Items,Zinger® Burger,32879,YES,Success,
Delivery 8,NEW Items,Zinger® Burger Combo,32880,YES,Success,
Delivery 8,NEW Items,Double Tender™ Burger,32886,YES,Success,
Delivery 8,NEW Items,Zinger® Bacon & Cheese Burger,32887,YES,Success,
Delivery 8,NEW Items,Zinger® Crunch Burger™,32888,YES,Success,
Delivery 8,NEW Items,Original Crispy Burger,32889,YES,Success,
Delivery 8,NEW Items,Original Crispy Bacon & Cheese Burger,32890,YES,Success,
Delivery 8,NEW Items,Original Crispy BBQ Bacon Stacker® Burger,32891,YES,Success,
Delivery 8,NEW Items,Zinger Stacker® Burger,32892,YES,Success,
Delivery 8,NEW Items,Original Pepper Mayo Slider,32897,YES,Success,
Delivery 8,NEW Items,Original BBQ Slider,32898,YES,Success,
Delivery 8,NEW Items,Original Crunch Twister® ,32899,YES,Success,
Delivery 8,NEW Items,Zinger® Crunch Twister®  ,32900,YES,Success,
Delivery 8,NEW Items,"Original Supercharged Slider ",32901,YES,Success,
Delivery 8,NEW Items,Regular Potato & Gravy,32904,YES,Success,
Delivery 8,NEW Items,Large Potato & Gravy,32905,YES,Success,
Delivery 8,NEW Items,Regular Coleslaw,32906,YES,Success,
Delivery 8,NEW Items,Large Coleslaw,32907,YES,Success,
Delivery 8,NEW Items,Regular Gravy,32908,YES,Success,
Delivery 8,NEW Items,Crunchy Jalapeno Slaw,32909,YES,Success,
Delivery 8,NEW Items,Dinner Roll,32910,YES,Success,
Delivery 8,NEW Items,Double Chocolate Mousse,32911,YES,Success,
Delivery 8,NEW Items,Original Tenders™ Crunch Bowl,32912,YES,Success,
Delivery 8,NEW Items,Zinger® Crunch Bowl,32913,YES,Success,
Delivery 8,NEW Items,Go Bucket® 2 Wicked Wings®,32914,YES,Success,
Delivery 8,NEW Items,Go Bucket® 1 Original Tender™,32915,YES,Success,
Delivery 8,NEW Items,Go Bucket® Popcorn Chicken®,32916,YES,Success,
Delivery 8,NEW Items,Go Bucket® 3 Nuggets,32917,YES,Success,
Delivery 8,NEW Items,1 Piece of Chicken,32922,YES,Success,
Delivery 8,NEW Items,6 Pieces of Chicken,32923,YES,Success,
Delivery 8,NEW Items,21 Pieces of Chicken,32924,YES,Success,
Delivery 8,NEW Items,3 Wicked Wings®,32925,YES,Success,
Delivery 8,NEW Items,6 Wicked Wings®,32926,YES,Success,
Delivery 8,NEW Items,10 Wicked Wings®,32927,YES,Success,
